isbn	title	author	rating_eb	scaled_eb	scaled_norm
0979923832	Jack and the Box: TOON Level 1	Art Spiegelman	3.0511331253244256	1	1
0979923840	Stinky	Eleanor Davis (Illustrations)	3.803371011109961	2.6334329050079237	2.384719854030627
0979923859	Mo and Jo Fighting Together Forever: Toon Level 3	Dean Haspiel (Illustrator), Jay Lynch	3.310441129930045	1.5630695226317322	1.437424740101395
0979923891	Benny and Penny in The Big No-No!	Geoffrey Hayes	3.7591623641711904	2.5374368644465566	2.2922139981469067
0979974623	I Need My Monster	Amanda Noll, Howard McWilliam (Illustrator)	4.294211791317187	3.6992599481021435	3.6712499418603004
0979974674	When a Dragon Moves In	Jodi Moore (Author), Howard McWilliam (Illustrator)	4.188453901793431	3.4696139544921567	3.368328266226324
0980231418	Cupcakes of Doom!: A Collection of Yarg! Piratey Comics	Ray Friesen (Author)	3.8713006038185545	2.7809373501451597	2.525253790264564
0980782341	The Deep: Here Be Dragons	Tom Taylor (Author), James Brouwer (Illustrator)	3.991728597027848	3.0424384663601627	2.8002590430378236
098130480X	The ABC Field Guide to Faeries	Susanne Alexander-Heaton (Author)	4.113149891137521	3.3060964672600663	3.1443143894960666
0981307167	Xander and the Wind	MCM (Author)	4.081506241072674	3.237384454441805	3.033588810376512
0981497705	Sparkles the Fire Safety Dog (saddle stitched)	Firefighter Dayna Hilton (Author)	4.121523250630305	3.324278642313229	3.173781155326199
0981572103	A Soup Opera	Jim Gill, David Moose (Illustrations)	4.317522840016451	3.7498782893411766	3.7360597786373884
0981924050	Quincy and Buck	Camille Matthews (Author)	4.269431449457456	3.645451137676755	3.600025648721415
0982093209	The Lion's Paw	Robb White	4.380230265112909	3.8860431561690563	3.9090699681154972
0982116004	Left Shoe Right Shoe	Yolanda Lopez-Rettew (Author), Bonnie Lemaire (Illustrator)	4.247658497200949	3.5981726672261396	3.5355547744149534
0982335709	Counting on Fruit with Nerdel: (The Nerdel Series of Children's Books)	Robin Kesselman, Marc Kesselman, Natali Martinez (Illustrator)	4.087769649141266	3.250985014889577	3.059836056513158
0982750722	Top 10 Deadliest Sharks GN (Discovery Channel Books)	Joe Brusha (Author), Andy Dehart	4.006110695862139	3.073668206210974	2.829552101070159
0982797206	Izzy and the Candy Palace	Isabel J. (Author), J.H. Everett (Author) (Illustrator)	4.119315837111665	3.3194853954634764	3.1640235334709903
0982979355	The Love That Is True	Paul Chilson	4.130375729504569	3.34350119219718	3.201630087118235
0982993803	Your Fantastic Elastic Brain: Stretch It, Shape It	JoAnn Deak, Sarah Ackerley (Illustrator)	4.366275101280786	3.8557404763534002	3.8731045353836224
0982993811	Sofia's Dream	Land Wilson, Sue Cornelison (Illustrator)	3.9835775257169335	3.0247389748270943	2.7859087267552836
0983016305	Fantastic, Fabulous Creatures & Beasts	Melanie Dellas (Author), Christopher Bennett (Illustrator)	4.060431394600693	3.191621872756125	2.9697109452942048
0983016313	Fantastic, Fabulous Creatures & Beasts, Vol. 2	Melanie Dellas (Author), Christopher Bennett (Illustrator), Tay Taylor (Illustrator)	4.047520886080026	3.163587590201982	2.9344460178427765
0983045909	A Quest for Good Manners	Karin Lefranc (Author), Hannah Neale (Illustrator)	4.283602295265442	3.67622215608988	3.6415644084679957
