Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
GMOH,3060,N,F,SYCAMORE-A,N,,11Feb1986,2,,CB,DUKE PRIM,2,124,10Oct1985,10,2091,SYCAMORE,GMOH,02Aug1984,1.19,2000,ARBUTUS,GMOH,26Jan1980,5.71,12Feb1986,0.00,,,0.00,
GMOH,3061,N,F,SYCAMORE-B,N,,11Feb1986,2,,CB,DUKE PRIM,2,124,10Oct1985,10,2091,SYCAMORE,GMOH,02Aug1984,1.19,2000,ARBUTUS,GMOH,26Jan1980,5.71,12Feb1986,0.00,,,0.00,
GMOH,3064,N,F,TREMA,N,,01Mar1986,3,,CB,DUKE PRIM,1,124,28Oct1985,10,1094,TUPELO,GMOH,08Mar1980,5.64,1089,BUCKEYE,GMOH,08Mar1980,5.64,,,,1.09,1.09,
GMOH,3067,N,ND,BAYBERRY-A,N,,08Mar1986,3,,CB,DUKE PRIM,2,124,04Nov1985,11,3000,BAYBERRY,GMOH,31Aug1984,1.18,2041,SORRELTREE,GMOH,11May1981,4.49,08Mar1986,0.00,,,0.00,
GMOH,3068,N,ND,BAYBERRY-B,N,,08Mar1986,3,,CB,DUKE PRIM,2,124,04Nov1985,11,3000,BAYBERRY,GMOH,31Aug1984,1.18,2041,SORRELTREE,GMOH,11May1981,4.49,08Mar1986,0.00,,,0.00,
GMOH,3069,N,F,BAMBOO-A,N,,16Mar1986,3,,CB,DUKE PRIM,1,124,12Nov1985,11,2031,BAMBOO,GMOH,18Dec1982,2.90,1089,BUCKEYE,GMOH,08Mar1980,5.68,25Mar1986,0.02,,,0.02,
GMOH,307,N,F,SERENDIPITY-A,N,,19Aug1966,8,,CB,DUKE PRIM,1,124,17Apr1966,4,UNK,,,,,MULT2,,,,,19Apr1967,0.67,,,0.67,
GMOH,3070,N,M,POISONTREE,N,,03Apr1986,4,,CB,DUKE PRIM,2,124,30Nov1985,11,2078,PONDEROSA,GMOH,20Mar1984,1.70,2092,BUCKTHORN,GMOH,13Aug1984,1.30,,,,1.00,1.00,
GMOH,3071,N,F,PLUM,N,,03Apr1986,4,,CB,DUKE PRIM,2,124,30Nov1985,11,2078,PONDEROSA,GMOH,20Mar1984,1.70,2092,BUCKTHORN,GMOH,13Aug1984,1.30,,,,1.00,1.00,
GMOH,3072,N,M,LIVEOAK,N,,11Apr1986,4,,CB,DUKE PRIM,1,124,08Dec1985,12,2027,LINDEN,GMOH,05Oct1982,3.18,2028,LOCUST,GMOH,11Oct1982,3.16,,,,3.04,3.04,2
GMOH,3073,N,M,PALM-A,N,,14Apr1986,4,,CB,DUKE PRIM,1,124,11Dec1985,12,2012,PALM,GMOH,26Jan1980,5.88,1099,SUMAC,GMOH,12Oct1981,4.17,14Apr1986,0.00,,,0.00,
GMOH,3074,N,F,HACKBERRY-A,N,,30Apr1986,4,,CB,DUKE PRIM,1,124,27Dec1985,12,3017,HACKBERRY,GMOH,13Mar1985,0.79,2045,CORNEL,GMOH,04Jun1983,2.57,09May1986,0.02,,,0.02,
GMOH,3075,N,F,CHERRY,N,,09May1986,5,,CB,DUKE PRIM,2,124,05Jan1986,1,1079,HOLLY,GMOH,08Mar1980,5.83,2048,BRISTLE CONE,GMOH,26Jun1983,2.53,07Jul1989,3.16,,,3.16,
GMOH,3076,N,F,CANOTIA,N,,09May1986,5,,CB,DUKE PRIM,2,124,05Jan1986,1,1079,HOLLY,GMOH,08Mar1980,5.83,2048,BRISTLE CONE,GMOH,26Jun1983,2.53,,,,1.50,1.50,
