casualty_group,killed,injured,total_casualties
1414,0,0,0
1415,0,0,0
1416,0,0,0
1417,NA,NA,NA
1418,0,0,0
1419,0,0,0
1420,0,0,0
1421,0,0,0
1422,0,0,0
1423,0,0,0
1424,0,0,0
1425,0,1,1
1426,3,5,8
1427,0,2,2
1428,0,0,0
1429,0,0,0
1430,0,1,1
1431,0,0,0
1432,0,0,0
1433,0,0,0
1434,0,0,0
1435,0,0,0
1436,0,0,0
1437,0,0,0
1438,0,0,0
1439,0,2,2
1440,6,NA,6
1441,NA,NA,NA
1442,NA,NA,NA
1443,NA,NA,NA
1444,0,0,0
1445,0,1,1
1446,0,0,0
1447,0,0,0
1448,0,0,0
1449,0,1,1
1450,0,1,1
1451,0,0,0
1452,0,5,5
1453,1,4,5
1454,1,0,1
1455,0,0,0
1456,0,0,0
1457,0,0,0
1458,2,NA,2
1459,0,0,0
1460,2,5,5
1461,3,19,22
1462,0,0,0
1463,0,1,1
1464,0,0,0
1465,0,0,0
1466,0,0,0
1467,4,33,37
1468,0,0,0
1469,0,0,0
1470,0,0,0
1471,0,6,6
1472,0,0,0
1473,0,4,0
1474,0,0,0
1475,0,0,0
1476,0,0,0
1477,10,20,30
1478,3,15,18
1479,0,0,0
1480,0,0,0
1481,0,0,0
1482,0,0,0
1483,0,0,0
1484,0,0,0
1485,0,0,0
1486,0,0,0
1487,0,0,0
1488,0,0,0
1489,0,0,0
1490,0,0,0
1491,0,0,0
1492,0,0,0
1493,0,0,0
1494,0,0,0
1495,0,0,0
1496,0,0,0
1497,0,0,0
1498,0,0,0
1499,0,0,0
1500,0,0,0
1501,0,0,0
1502,0,0,0
1503,0,0,0
1504,0,0,0
1505,0,0,0
1506,0,0,0
1507,1,2,3
1508,1,13,14
1509,1,17,18
1510,1,4,5
1511,0,0,0
1512,0,0,0
1513,0,0,0
1514,0,0,0
1515,0,0,0
1516,0,0,0
1517,0,0,0
1518,0,0,0
1519,0,0,0
1520,0,0,0
1521,0,0,0
1522,0,0,0
1523,0,0,0
1524,0,0,0
1525,0,0,0
1526,0,0,0
1527,0,0,0
1528,0,0,0
1529,0,0,0
1530,0,0,0
1531,0,0,0
1532,0,0,0
1533,0,0,0
1534,0,0,0
1535,0,0,0
1536,0,0,0
1537,0,0,0
1538,0,0,0
1539,0,0,0
1540,0,0,0
1541,0,0,0
1542,0,0,0
1543,0,0,0
1544,0,0,0
1545,0,0,0
1546,0,0,0
1547,0,0,0
1548,0,0,0
1549,0,0,0
1550,0,0,0
1551,0,0,0
1552,0,0,0
1553,0,0,0
1554,0,0,0
1555,0,0,0
1556,0,0,0
1557,0,0,0
1558,NA,NA,NA
1559,NA,NA,NA
1560,NA,NA,NA
1561,NA,NA,3
1562,0,1,1
1563,0,0,0
1564,0,1,1
1565,0,0,0
1566,0,0,0
1567,3,5,8
1568,0,0,0
1569,0,0,0
1570,0,0,0
1571,0,0,0
1572,0,1,1
1573,NA,NA,NA
1574,4,3,7
